,prompt,A,B,C,D,answer,queries
97576,feeders attract animals to a,volcano,video game,nearby spot,moon,C,"what is the best possible answer for this question: feeders attract animals to a
 (A) video game
 (B) video game
 (C) nearby spot
 (D) moon
"
97273,The sun is,Square shaped,caused by wind,Cold,has nuclear mechanics,D,"what is the best possible answer for this question: The sun is
 (A) caused by wind
 (B) caused by wind
 (C) Cold
 (D) has nuclear mechanics
"
94515,35 percent of what depends on pollination?,flowers,people,crops,bees,C,"what is the best possible answer for this question: 35 percent of what depends on pollination?
 (A) people
 (B) people
 (C) crops
 (D) bees
"
93843,polar bears are white due to an inherited,characteristic,coat,snow,fur length,A,"what is the best possible answer for this question: polar bears are white due to an inherited
 (A) coat
 (B) coat
 (C) snow
 (D) fur length
"
97974,People often tear,rain,evaporation,voltage,private documents,D,"what is the best possible answer for this question: People often tear
 (A) evaporation
 (B) evaporation
 (C) voltage
 (D) private documents
"
97479,Tectonic plates are like a large,pizza,jenga,marshmallow,candy cane,B,"what is the best possible answer for this question: Tectonic plates are like a large
 (A) jenga
 (B) jenga
 (C) marshmallow
 (D) candy cane
"
94084,seasons change due to the earth's,tides,size,weather,degree of angle,D,"what is the best possible answer for this question: seasons change due to the earth's
 (A) size
 (B) size
 (C) weather
 (D) degree of angle
"
94584,That which is alive is made of cells such as,rocks,dirt,water,grapes,D,"what is the best possible answer for this question: That which is alive is made of cells such as
 (A) dirt
 (B) dirt
 (C) water
 (D) grapes
"
94262,What forms craters on planets?,sunlight,thunder,space stones,digging,C,"what is the best possible answer for this question: What forms craters on planets?
 (A) thunder
 (B) thunder
 (C) space stones
 (D) digging
"
95029,Alternative fuel is usually a renewable what?,sound,meal,drink,asset,D,"what is the best possible answer for this question: Alternative fuel is usually a renewable what?
 (A) meal
 (B) meal
 (C) drink
 (D) asset
"
4318,Sleet and hail are forms of,clouds,energy,evaporation,precipitation,D,"what is the best possible answer for this question: Sleet and hail are forms of
 (A) energy
 (B) energy
 (C) evaporation
 (D) precipitation
"
93069,What causes the most soil and rock erosion?,sun,wind,water,gravity,C,"what is the best possible answer for this question: What causes the most soil and rock erosion?
 (A) wind
 (B) wind
 (C) water
 (D) gravity
"
97624,What uses eyes to see by sensing light?,trees,algae,worms,elephants,D,"what is the best possible answer for this question: What uses eyes to see by sensing light?
 (A) algae
 (B) algae
 (C) worms
 (D) elephants
"
94928,Pushing an object requires what?,wind,water,heavy exertion,flowers,C,"what is the best possible answer for this question: Pushing an object requires what?
 (A) water
 (B) water
 (C) heavy exertion
 (D) flowers
"
96076,Which season is it for Australians in July?,Spring,Fall,Winter,Summer,C,"what is the best possible answer for this question: Which season is it for Australians in July?
 (A) Fall
 (B) Fall
 (C) Winter
 (D) Summer
"
94199,In a decade spring occurs,three times,twelve times,ten times,twice,C,"what is the best possible answer for this question: In a decade spring occurs
 (A) twelve times
 (B) twelve times
 (C) ten times
 (D) twice
"
94400,What do herbivores eat,stick bugs,radishes,leaf beetles,sea cucumbers,B,"what is the best possible answer for this question: What do herbivores eat
 (A) radishes
 (B) radishes
 (C) leaf beetles
 (D) sea cucumbers
"
98229,A tree can be replaced by planting a new what?,tall bush,farm,grass,ford,A,"what is the best possible answer for this question: A tree can be replaced by planting a new what?
 (A) farm
 (B) farm
 (C) grass
 (D) ford
"
98461,"when organisms die, they",reproduce,wither away,petrify,regenerate,B,"what is the best possible answer for this question: when organisms die, they
 (A) wither away
 (B) wither away
 (C) petrify
 (D) regenerate
"
95069,A person may celebrate an equinox,biyearly,monthly,yearly,biannually,D,"what is the best possible answer for this question: A person may celebrate an equinox
 (A) monthly
 (B) monthly
 (C) yearly
 (D) biannually
"
98414,An earthquake causes the ground to do what?,rain,erupt,calm,quiver,D,"what is the best possible answer for this question: An earthquake causes the ground to do what?
 (A) erupt
 (B) erupt
 (C) calm
 (D) quiver
"
94057,What item is high in moisture?,firewood,light bulb,wet dog,a book,C,"what is the best possible answer for this question: What item is high in moisture?
 (A) light bulb
 (B) light bulb
 (C) wet dog
 (D) a book
"
96594,Camouflage can be used by animals for hunting,trees,meals,air,water,B,"what is the best possible answer for this question: Camouflage can be used by animals for hunting
 (A) meals
 (B) meals
 (C) air
 (D) water
"
94253,It was hot during Christmas in,new york,ayers rock,seattle,denver,B,"what is the best possible answer for this question: It was hot during Christmas in
 (A) ayers rock
 (B) ayers rock
 (C) seattle
 (D) denver
"
96466,A person can eat a seed if they are consuming raw,soup,elk,fish,duku,D,"what is the best possible answer for this question: A person can eat a seed if they are consuming raw
 (A) elk
 (B) elk
 (C) fish
 (D) duku
"
95257,A rainbow is caused by rain and what?,grass,winds,solar rays,oceans,C,"what is the best possible answer for this question: A rainbow is caused by rain and what?
 (A) winds
 (B) winds
 (C) solar rays
 (D) oceans
"
95573,You may be able to make musical instruments from,A paperclip,air,water,grass,A,"what is the best possible answer for this question: You may be able to make musical instruments from
 (A) air
 (B) air
 (C) water
 (D) grass
"
95669,Humming birds may help the growth of,cars,buildings,ants,tulips,D,"what is the best possible answer for this question: Humming birds may help the growth of
 (A) buildings
 (B) buildings
 (C) ants
 (D) tulips
"
98444,It is very difficult for carrots to grow in,topsoil,Kansas,peat,adobe,D,"what is the best possible answer for this question: It is very difficult for carrots to grow in
 (A) Kansas
 (B) Kansas
 (C) peat
 (D) adobe
"
97541,kinetics change stored energy into motion and,snacks,naps,kites,warmth,D,"what is the best possible answer for this question: kinetics change stored energy into motion and
 (A) naps
 (B) naps
 (C) kites
 (D) warmth
"
97213,What does a salamander eat?,mice,Venus flytraps,fleas,bats,C,"what is the best possible answer for this question: What does a salamander eat?
 (A) Venus flytraps
 (B) Venus flytraps
 (C) fleas
 (D) bats
"
95936,Which would be a source of pollutants?,cars,oceans,glaciers,storms,A,"what is the best possible answer for this question: Which would be a source of pollutants?
 (A) oceans
 (B) oceans
 (C) glaciers
 (D) storms
"
1496,Populations living in one place form a,community,system,habitat,species,A,"what is the best possible answer for this question: Populations living in one place form a
 (A) system
 (B) system
 (C) habitat
 (D) species
"
93687,Which animal gives birth to live young?,Shark,Turtle,Giraffe,Spider,C,"what is the best possible answer for this question: Which animal gives birth to live young?
 (A) Turtle
 (B) Turtle
 (C) Giraffe
 (D) Spider
"
94410,Which causes more matter vibration?,megaphone,walking,speaking,yelling,A,"what is the best possible answer for this question: Which causes more matter vibration?
 (A) walking
 (B) walking
 (C) speaking
 (D) yelling
"
94810,Pushing on a pedal is an example of,force,patching,practice,speed,A,"what is the best possible answer for this question: Pushing on a pedal is an example of
 (A) patching
 (B) patching
 (C) practice
 (D) speed
"
95193,Meadow vales are,carnivores,hard of hearing,very large,potatoes,B,"what is the best possible answer for this question: Meadow vales are
 (A) hard of hearing
 (B) hard of hearing
 (C) very large
 (D) potatoes
"
97171,Which of these is likely to get hot,an angel,a kite,a bird,space craft,D,"what is the best possible answer for this question: Which of these is likely to get hot
 (A) a kite
 (B) a kite
 (C) a bird
 (D) space craft
"
97169,Saturday and Sunday together are,72 hours,24 hours,48 hours,36 hours,C,"what is the best possible answer for this question: Saturday and Sunday together are
 (A) 24 hours
 (B) 24 hours
 (C) 48 hours
 (D) 36 hours
"
96732,MRIs can make,fillings dance,great yogurt,programs for assembly,a mess,A,"what is the best possible answer for this question: MRIs can make
 (A) great yogurt
 (B) great yogurt
 (C) programs for assembly
 (D) a mess
"
92387,An example of a renewable resource is,oil.,coal.,wood.,natural gas.,C,"what is the best possible answer for this question: An example of a renewable resource is
 (A) coal.
 (B) coal.
 (C) wood.
 (D) natural gas.
"
97074,What has a negative impact on photosynthesis?,light,sun,gloom,sun rays,C,"what is the best possible answer for this question: What has a negative impact on photosynthesis?
 (A) sun
 (B) sun
 (C) gloom
 (D) sun rays
"
95722,A large source of heat can be seen in the,sky,cave,ocean,tree trunk,A,"what is the best possible answer for this question: A large source of heat can be seen in the
 (A) cave
 (B) cave
 (C) ocean
 (D) tree trunk
"
94958,Camouflage is used by entities for hunting,air,trees,vittles,water,C,"what is the best possible answer for this question: Camouflage is used by entities for hunting
 (A) trees
 (B) trees
 (C) vittles
 (D) water
"
94259,Annelids do what to soil?,loosen it,tighten it,condense it,clump it,A,"what is the best possible answer for this question: Annelids do what to soil?
 (A) tighten it
 (B) tighten it
 (C) condense it
 (D) clump it
"
97772,What gives birth to live young?,tarantulas,wildcats,vultures,anacondas,B,"what is the best possible answer for this question: What gives birth to live young?
 (A) wildcats
 (B) wildcats
 (C) vultures
 (D) anacondas
"
97259,Which stores sustenance in the seed form?,giraffes,cats,cattle,hydrangea,D,"what is the best possible answer for this question: Which stores sustenance in the seed form?
 (A) cats
 (B) cats
 (C) cattle
 (D) hydrangea
"
95254,An example of an instinctive behavior could be,wind,fire,revenge,air,C,"what is the best possible answer for this question: An example of an instinctive behavior could be
 (A) fire
 (B) fire
 (C) revenge
 (D) air
"
95532,Scraping the side of a cliff may result in,ice,snow,sand,wood chips,C,"what is the best possible answer for this question: Scraping the side of a cliff may result in
 (A) snow
 (B) snow
 (C) sand
 (D) wood chips
"
97758,The outer shell of our planet is made of,sedimentary formations,plastic,foam,cheese,A,"what is the best possible answer for this question: The outer shell of our planet is made of
 (A) plastic
 (B) plastic
 (C) foam
 (D) cheese
"
93736,Which form can be made into a triangle?,ice,steam,water,salt water,A,"what is the best possible answer for this question: Which form can be made into a triangle?
 (A) steam
 (B) steam
 (C) water
 (D) salt water
"
98389,the alps were formed by rock what?,growing,melting,erupting,creasing,D,"what is the best possible answer for this question: the alps were formed by rock what?
 (A) melting
 (B) melting
 (C) erupting
 (D) creasing
"
94540,running turns carbohydrates into,fat,sweat,motion and heat,protein,C,"what is the best possible answer for this question: running turns carbohydrates into
 (A) sweat
 (B) sweat
 (C) motion and heat
 (D) protein
"
95557,"As air begins to chill, it may push out",sand,liquids,fire,carrots,B,"what is the best possible answer for this question: As air begins to chill, it may push out
 (A) liquids
 (B) liquids
 (C) fire
 (D) carrots
"
93741,What stores food for future use and is green?,bacteria,trout,virus,tree,D,"what is the best possible answer for this question: What stores food for future use and is green?
 (A) trout
 (B) trout
 (C) virus
 (D) tree
"
94169,A camera can take an image and,preserve it,edit it,lock it in,produce it,A,"what is the best possible answer for this question: A camera can take an image and
 (A) edit it
 (B) edit it
 (C) lock it in
 (D) produce it
"
97400,Which absorbs more sunlight?,palm frond,a mirror,maple syrup,Wednesday,A,"what is the best possible answer for this question: Which absorbs more sunlight?
 (A) a mirror
 (B) a mirror
 (C) maple syrup
 (D) Wednesday
"
94266,an animal needs to burn complex carbohydrates to,stay up,move,sit,sleep,B,"what is the best possible answer for this question: an animal needs to burn complex carbohydrates to
 (A) move
 (B) move
 (C) sit
 (D) sleep
"
96282,trees will grow from,rocks,hack berries,thin air,water lilies,B,"what is the best possible answer for this question: trees will grow from
 (A) hack berries
 (B) hack berries
 (C) thin air
 (D) water lilies
"
94791,Earlier in their lives many amphibians ate,meat,flies,beetles,algae,D,"what is the best possible answer for this question: Earlier in their lives many amphibians ate
 (A) flies
 (B) flies
 (C) beetles
 (D) algae
"
96878,An example of a chemical reaction might be,a rusty knife,Water,Grass,Smiling,A,"what is the best possible answer for this question: An example of a chemical reaction might be
 (A) Water
 (B) Water
 (C) Grass
 (D) Smiling
"
2496,Which of the following is a SOURCE of light?,Earth,planet,star,moon,C,"what is the best possible answer for this question: Which of the following is a SOURCE of light?
 (A) planet
 (B) planet
 (C) star
 (D) moon
"
94152,What can be used more than one time?,coal,soda bottle,gas,oil,B,"what is the best possible answer for this question: What can be used more than one time?
 (A) soda bottle
 (B) soda bottle
 (C) gas
 (D) oil
"
95003,As ipod sale plummet apple reports major,loses,raises,firings,gains,A,"what is the best possible answer for this question: As ipod sale plummet apple reports major
 (A) raises
 (B) raises
 (C) firings
 (D) gains
"
4267,Matter that is vibrating is producing ___.,gas,light,sound,shadows,C,"what is the best possible answer for this question: Matter that is vibrating is producing ___.
 (A) light
 (B) light
 (C) sound
 (D) shadows
"
97398,Which is likeliest to attract a magnet?,feathers,a wrench,hair,blood,B,"what is the best possible answer for this question: Which is likeliest to attract a magnet?
 (A) a wrench
 (B) a wrench
 (C) hair
 (D) blood
"
98224,Bees are key to a flowers,procreation,water supply,sun intake,color,A,"what is the best possible answer for this question: Bees are key to a flowers
 (A) water supply
 (B) water supply
 (C) sun intake
 (D) color
"
96800,A person with a pet amphibian will likely feed it,meal worms,deer,steak,wax,A,"what is the best possible answer for this question: A person with a pet amphibian will likely feed it
 (A) deer
 (B) deer
 (C) steak
 (D) wax
"
4381,From which part of the plant does a bee get food?,flower,seed,stem,root,A,"what is the best possible answer for this question: From which part of the plant does a bee get food?
 (A) seed
 (B) seed
 (C) stem
 (D) root
"
98288,Snowy means a large amount of what?,roads,rivers,ice particles,winds,C,"what is the best possible answer for this question: Snowy means a large amount of what?
 (A) rivers
 (B) rivers
 (C) ice particles
 (D) winds
"
98263,condensation is a stage in what cycle process?,h2o,space,solar,fire,A,"what is the best possible answer for this question: condensation is a stage in what cycle process?
 (A) space
 (B) space
 (C) solar
 (D) fire
"
97215,A sugar cube in vinegar will,disappear,explode,start to fly,become hard,A,"what is the best possible answer for this question: A sugar cube in vinegar will
 (A) explode
 (B) explode
 (C) start to fly
 (D) become hard
"
96192,Teak can be found in,glacier sheets,blue songs,groves,underwater trenches,C,"what is the best possible answer for this question: Teak can be found in
 (A) blue songs
 (B) blue songs
 (C) groves
 (D) underwater trenches
"
95655,A mouse is made up of,straw,organic material,dairy,buttons,B,"what is the best possible answer for this question: A mouse is made up of
 (A) organic material
 (B) organic material
 (C) dairy
 (D) buttons
"
2607,Which is an example of a human-made product?,cake,tomato,wheat,coal,A,"what is the best possible answer for this question: Which is an example of a human-made product?
 (A) tomato
 (B) tomato
 (C) wheat
 (D) coal
"
98269,The crust is made of different kinds of,flour,pastries,stars,stone,D,"what is the best possible answer for this question: The crust is made of different kinds of
 (A) pastries
 (B) pastries
 (C) stars
 (D) stone
"
97190,all animals,fly,are telepathic,dig,intake gaseous elements,D,"what is the best possible answer for this question: all animals
 (A) are telepathic
 (B) are telepathic
 (C) dig
 (D) intake gaseous elements
"
94803,To survive living things,need money,need Pu,need H2O,need hunting skills,C,"what is the best possible answer for this question: To survive living things
 (A) need Pu
 (B) need Pu
 (C) need H2O
 (D) need hunting skills
"
96634,Nerves all have,microscopic parts,short arms,viable organs,liver transplants,A,"what is the best possible answer for this question: Nerves all have
 (A) short arms
 (B) short arms
 (C) viable organs
 (D) liver transplants
"
98081,What is made of minerals?,Stonehenge,car engines,alcohol,electricity,A,"what is the best possible answer for this question: What is made of minerals?
 (A) car engines
 (B) car engines
 (C) alcohol
 (D) electricity
"
94786,Which of the following might use Chia to fuel it?,Bird,Kite,Plane,Jet,A,"what is the best possible answer for this question: Which of the following might use Chia to fuel it?
 (A) Kite
 (B) Kite
 (C) Plane
 (D) Jet
"
95212,In order to grow as a child I should have,cake,cheese,candy,spinach,D,"what is the best possible answer for this question: In order to grow as a child I should have
 (A) cheese
 (B) cheese
 (C) candy
 (D) spinach
"
97412,Which object would have more tightly packed matter,gold,gas,wood,water,A,"what is the best possible answer for this question: Which object would have more tightly packed matter
 (A) gas
 (B) gas
 (C) wood
 (D) water
"
1483,Which energy resource is renewable?,fuel oil,natural gas,wind,coal,C,"what is the best possible answer for this question: Which energy resource is renewable?
 (A) natural gas
 (B) natural gas
 (C) wind
 (D) coal
"
96101,Where would you find the most sunlight?,England,Morocco,Sweden,Norway,B,"what is the best possible answer for this question: Where would you find the most sunlight?
 (A) Morocco
 (B) Morocco
 (C) Sweden
 (D) Norway
"
94409,A balance can measure the weight of,sugar,tea,salt water,chocolate milk,A,"what is the best possible answer for this question: A balance can measure the weight of
 (A) tea
 (B) tea
 (C) salt water
 (D) chocolate milk
"
94724,"A long time ago, the Grand Canyon was",wider,deeper,grander,less deep,D,"what is the best possible answer for this question: A long time ago, the Grand Canyon was
 (A) deeper
 (B) deeper
 (C) grander
 (D) less deep
"
1752,Which is a nonrenewable resource?,oil,trees,solar energy,food crops,A,"what is the best possible answer for this question: Which is a nonrenewable resource?
 (A) trees
 (B) trees
 (C) solar energy
 (D) food crops
"
95290,Which of these is a source of heat?,ice cubes,coffee,Popsicles,ice cream,B,"what is the best possible answer for this question: Which of these is a source of heat?
 (A) coffee
 (B) coffee
 (C) Popsicles
 (D) ice cream
"
95352,An example of something that contains sugar is,air,cats,wind,Peppers,D,"what is the best possible answer for this question: An example of something that contains sugar is
 (A) cats
 (B) cats
 (C) wind
 (D) Peppers
"
97806,What's usually hot in temperature?,the Sahara,Minnesota,Alaska,corpses,A,"what is the best possible answer for this question: What's usually hot in temperature?
 (A) Minnesota
 (B) Minnesota
 (C) Alaska
 (D) corpses
"
93854,When would a reflector be most effective?,fall,winter,summer,spring,C,"what is the best possible answer for this question: When would a reflector be most effective?
 (A) winter
 (B) winter
 (C) summer
 (D) spring
"
97366,steam is a kind of water above,the stove,373 kelvin,the moon,jupiter,B,"what is the best possible answer for this question: steam is a kind of water above
 (A) 373 kelvin
 (B) 373 kelvin
 (C) the moon
 (D) jupiter
"
97724,What would thrive if Eagles died out,air,hamsters,emotions,magic,B,"what is the best possible answer for this question: What would thrive if Eagles died out
 (A) hamsters
 (B) hamsters
 (C) emotions
 (D) magic
"
94068,Beach balls contain,water,carbon dioxide,sunlight,beach sand,B,"what is the best possible answer for this question: Beach balls contain
 (A) carbon dioxide
 (B) carbon dioxide
 (C) sunlight
 (D) beach sand
"
98432,Breath includes which of the following?,Energy,Chemical,Vapor,Cells,C,"what is the best possible answer for this question: Breath includes which of the following?
 (A) Chemical
 (B) Chemical
 (C) Vapor
 (D) Cells
"
96371,A kumquat is more likely than a steak to have,fluid,seeds,fibers,skin,B,"what is the best possible answer for this question: A kumquat is more likely than a steak to have
 (A) seeds
 (B) seeds
 (C) fibers
 (D) skin
"
97567,What is something that could be made from iron?,Cats,RVs,Wood,Feelings,B,"what is the best possible answer for this question: What is something that could be made from iron?
 (A) RVs
 (B) RVs
 (C) Wood
 (D) Feelings
"
2212,Which of the following has the greatest mass?,star,moon,planet,galaxy,D,"what is the best possible answer for this question: Which of the following has the greatest mass?
 (A) moon
 (B) moon
 (C) planet
 (D) galaxy
"
98141,Bluebirds are found in,vast green fields,glaciers,volcanic craters,ocean waves,A,"what is the best possible answer for this question: Bluebirds are found in
 (A) glaciers
 (B) glaciers
 (C) volcanic craters
 (D) ocean waves
"
98317,What are predators?,herbivores,plant eaters,meat devourers,peaceful,C,"what is the best possible answer for this question: What are predators?
 (A) plant eaters
 (B) plant eaters
 (C) meat devourers
 (D) peaceful
"
94518,Two females usually can produce,children,a progeny,offspring,nothing,D,"what is the best possible answer for this question: Two females usually can produce
 (A) a progeny
 (B) a progeny
 (C) offspring
 (D) nothing
"
97904,One of tunas favorite prey is the,shark,hummingbird,cat,sardine,D,"what is the best possible answer for this question: One of tunas favorite prey is the
 (A) hummingbird
 (B) hummingbird
 (C) cat
 (D) sardine
"
97664,What resources can be used over again?,finite,fuels,sustainable,one use,C,"what is the best possible answer for this question: What resources can be used over again?
 (A) fuels
 (B) fuels
 (C) sustainable
 (D) one use
"
95701,Which is the least massive?,the Earth,the moon,the sun,the solar system,B,"what is the best possible answer for this question: Which is the least massive?
 (A) the moon
 (B) the moon
 (C) the sun
 (D) the solar system
"
97665,Pollution is a source of what?,dirtying agents,purity,fertilization,cleanliness,A,"what is the best possible answer for this question: Pollution is a source of what?
 (A) purity
 (B) purity
 (C) fertilization
 (D) cleanliness
"
95145,How does erosion impact a river?,enlargening,warming,heightening,shrinking,A,"what is the best possible answer for this question: How does erosion impact a river?
 (A) warming
 (B) warming
 (C) heightening
 (D) shrinking
"
96960,A fallen tree may provide what?,Hope,Happiness,Love,Thriving life,D,"what is the best possible answer for this question: A fallen tree may provide what?
 (A) Happiness
 (B) Happiness
 (C) Love
 (D) Thriving life
"
96348,Which would likeliest eat a sardine?,a plant,a tree,a canary,a tunafish,D,"what is the best possible answer for this question: Which would likeliest eat a sardine?
 (A) a tree
 (B) a tree
 (C) a canary
 (D) a tunafish
"
98216,Thick feathers can be used to stay what?,frigid,frosty,freezing,toasty,D,"what is the best possible answer for this question: Thick feathers can be used to stay what?
 (A) frosty
 (B) frosty
 (C) freezing
 (D) toasty
"
94666,Water can be boiled in a pot over a,ice cube,car tire?,embers,bathtub,C,"what is the best possible answer for this question: Water can be boiled in a pot over a
 (A) car tire?
 (B) car tire?
 (C) embers
 (D) bathtub
"
93285,"In an earthquake, the primary waves move through",air,water,soil,rock,D,"what is the best possible answer for this question: In an earthquake, the primary waves move through
 (A) water
 (B) water
 (C) soil
 (D) rock
"
95980,"Over the course of a calendar month, the moon may",resolve,burn,float,spin,D,"what is the best possible answer for this question: Over the course of a calendar month, the moon may
 (A) burn
 (B) burn
 (C) float
 (D) spin
"
93307,Which force produces energy as heat?,pull,gravity,friction,magnetic,C,"what is the best possible answer for this question: Which force produces energy as heat?
 (A) gravity
 (B) gravity
 (C) friction
 (D) magnetic
"
95248,A microscope is useful for looking at,giraffes,trees,butterflies,sea life,D,"what is the best possible answer for this question: A microscope is useful for looking at
 (A) trees
 (B) trees
 (C) butterflies
 (D) sea life
"
92445,Which object is made to reflect light?,telescope,window,mirror,eyeglasses,C,"what is the best possible answer for this question: Which object is made to reflect light?
 (A) window
 (B) window
 (C) mirror
 (D) eyeglasses
"
97350,the moon 's surface contains many,trees,oceans,smoothies,ground bumps,D,"what is the best possible answer for this question: the moon 's surface contains many
 (A) oceans
 (B) oceans
 (C) smoothies
 (D) ground bumps
"
95239,Where could you expect to see a quail sleeping?,box,field,ocean,tree,B,"what is the best possible answer for this question: Where could you expect to see a quail sleeping?
 (A) field
 (B) field
 (C) ocean
 (D) tree
"
97557,How long is it between a moon phase?,a minute,168 hours,an hour,a day,B,"what is the best possible answer for this question: How long is it between a moon phase?
 (A) 168 hours
 (B) 168 hours
 (C) an hour
 (D) a day
"
95527,Sonar is used to find an objects what?,locale,elements,minerals,mass,A,"what is the best possible answer for this question: Sonar is used to find an objects what?
 (A) elements
 (B) elements
 (C) minerals
 (D) mass
"
96969,Corn would likely provide nutrients to,a rock,a ice,a waterfall,a raven,D,"what is the best possible answer for this question: Corn would likely provide nutrients to
 (A) a ice
 (B) a ice
 (C) a waterfall
 (D) a raven
"
97123,Which promotes the creation of serotonin?,Jupiter,Venus,the Sun,the Moon,C,"what is the best possible answer for this question: Which promotes the creation of serotonin?
 (A) Venus
 (B) Venus
 (C) the Sun
 (D) the Moon
"
96355,Some caterpillars use camouflage to look like,Anger,poop,love,Sarcastic,B,"what is the best possible answer for this question: Some caterpillars use camouflage to look like
 (A) poop
 (B) poop
 (C) love
 (D) Sarcastic
"
97717,If a tree is cut down what will happen to it?,vitality extinguishing,growth,vigor,life,A,"what is the best possible answer for this question: If a tree is cut down what will happen to it?
 (A) growth
 (B) growth
 (C) vigor
 (D) life
"
97946,A living thing requires what to grow?,support,nutriment,toys,plastic,B,"what is the best possible answer for this question: A living thing requires what to grow?
 (A) nutriment
 (B) nutriment
 (C) toys
 (D) plastic
"
98457,Pit bulls thin their thicker coats by,getting a haircut,shaving,shedding,selling,C,"what is the best possible answer for this question: Pit bulls thin their thicker coats by
 (A) shaving
 (B) shaving
 (C) shedding
 (D) selling
"
96744,What would be more attracted to a magnet?,wood,A dog,a cloud,A zipper,D,"what is the best possible answer for this question: What would be more attracted to a magnet?
 (A) A dog
 (B) A dog
 (C) a cloud
 (D) A zipper
"
96089,What is the rainy season in north america?,fall,spring,winter,summer,B,"what is the best possible answer for this question: What is the rainy season in north america?
 (A) spring
 (B) spring
 (C) winter
 (D) summer
"
96877,Some lizards form eggs where,in space,in fire,in ice,in their interiors,D,"what is the best possible answer for this question: Some lizards form eggs where
 (A) in fire
 (B) in fire
 (C) in ice
 (D) in their interiors
"
94105,What do steam and ice have in common?,intensive properties,form,temperature,appearance,A,"what is the best possible answer for this question: What do steam and ice have in common?
 (A) form
 (B) form
 (C) temperature
 (D) appearance
"
98254,As altitude increases air pressure will do what?,increase,rise,fly,plummet,D,"what is the best possible answer for this question: As altitude increases air pressure will do what?
 (A) rise
 (B) rise
 (C) fly
 (D) plummet
"
97315,Cactus house a great amount of,favorite fishing holes,chlorophyll,bark,pine cones,B,"what is the best possible answer for this question: Cactus house a great amount of
 (A) chlorophyll
 (B) chlorophyll
 (C) bark
 (D) pine cones
"
1150,Which substance is a compound?,sodium,chlorine,table salt,salt water,C,"what is the best possible answer for this question: Which substance is a compound?
 (A) chlorine
 (B) chlorine
 (C) table salt
 (D) salt water
"
94135,The worst place to leave a candy bar is,refrigerator,closet,freezer,sunlight,D,"what is the best possible answer for this question: The worst place to leave a candy bar is
 (A) closet
 (B) closet
 (C) freezer
 (D) sunlight
"
4211,Where do plants get energy from to make food?,air,soil,water,sunlight,D,"what is the best possible answer for this question: Where do plants get energy from to make food?
 (A) soil
 (B) soil
 (C) water
 (D) sunlight
"
97250,To positively impact an ecosystem,smoke,litter,burn plastic,sow seeds,D,"what is the best possible answer for this question: To positively impact an ecosystem
 (A) litter
 (B) litter
 (C) burn plastic
 (D) sow seeds
"
97229,Obstacles that might impede a dune are,God,emotions,cacti,cancers,C,"what is the best possible answer for this question: Obstacles that might impede a dune are
 (A) emotions
 (B) emotions
 (C) cacti
 (D) cancers
"
94109,A glacier is made of,ice trays,solid water,warm water,buckets of oil,B,"what is the best possible answer for this question: A glacier is made of
 (A) solid water
 (B) solid water
 (C) warm water
 (D) buckets of oil
"
95762,This non-native crop is now available in Africa,rice,corn,coffee,beans,B,"what is the best possible answer for this question: This non-native crop is now available in Africa
 (A) corn
 (B) corn
 (C) coffee
 (D) beans
"
94649,"When a microscope magnifies, it is",enlarging,enabling,viewing,observing,A,"what is the best possible answer for this question: When a microscope magnifies, it is
 (A) enabling
 (B) enabling
 (C) viewing
 (D) observing
"
94730,Where would you most likely find iron?,the ocean,the air,a mine,a forest,C,"what is the best possible answer for this question: Where would you most likely find iron?
 (A) the air
 (B) the air
 (C) a mine
 (D) a forest
"
98359,Tropical storms get their fuel from the,super market,ocean,gas station,mexico,B,"what is the best possible answer for this question: Tropical storms get their fuel from the
 (A) ocean
 (B) ocean
 (C) gas station
 (D) mexico
"
98053,Absorbing sunlight causes objects to what?,cool,chill,freeze,blaze up,D,"what is the best possible answer for this question: Absorbing sunlight causes objects to what?
 (A) chill
 (B) chill
 (C) freeze
 (D) blaze up
"
93993,Spiders catch their prey with,a silky thread,trickery,seduction,a flyswatter,A,"what is the best possible answer for this question: Spiders catch their prey with
 (A) trickery
 (B) trickery
 (C) seduction
 (D) a flyswatter
"
97763,Gills are used by what for breathing water?,marlins,eagles,zebras,goats,A,"what is the best possible answer for this question: Gills are used by what for breathing water?
 (A) eagles
 (B) eagles
 (C) zebras
 (D) goats
"
97022,An example of a fossil is a paw print in what?,water,sky,air,hard stones,D,"what is the best possible answer for this question: An example of a fossil is a paw print in what?
 (A) sky
 (B) sky
 (C) air
 (D) hard stones
"
97384,Baking soda can react chemically with what?,oxidized alcohol,sunlight,dirt,wind,A,"what is the best possible answer for this question: Baking soda can react chemically with what?
 (A) sunlight
 (B) sunlight
 (C) dirt
 (D) wind
"
93543,Which is a major organ of the nervous system?,brain,stomach,lung,bone,A,"what is the best possible answer for this question: Which is a major organ of the nervous system?
 (A) stomach
 (B) stomach
 (C) lung
 (D) bone
"
4130,A rock sample will most likely contain,plants.,minerals.,water.,wood.,B,"what is the best possible answer for this question: A rock sample will most likely contain
 (A) minerals.
 (B) minerals.
 (C) water.
 (D) wood.
"
94114,Where would a greenhouse best be used?,Bahamas,Nebraska,Florida,Mexico,B,"what is the best possible answer for this question: Where would a greenhouse best be used?
 (A) Nebraska
 (B) Nebraska
 (C) Florida
 (D) Mexico
"
